Category (bits 15 to 6),Value Ranges,Name
0x000,0x0000 to 0x003F,Unknown
0x001,0x0040 to 0x007F,Phone
0x002,0x0080 to 0x00BF,Computer
0x003,0x00C0 to 0x00FF,Watch
0x004,0x0100 to 0x013F,Clock
0x005,0x0140 to 0x017F,Display
0x006,0x0180 to 0x01BF,Remote Control
0x007,0x01C0 to 0x01FF,Eye-glasses
0x008,0x0200 to 0x023F,Tag
0x009,0x0240 to 0x027F,Keyring
0x00A,0x0280 to 0x02BF,Media Player
0x00B,0x02C0 to 0x02FF,Barcode Scanner
0x00C,0x0300 to 0x033F,Thermometer
0x00D,0x0340 to 0x037F,Heart Rate Sensor
0x00E,0x0380 to 0x03BF,Blood Pressure
0x00F,0x03C0 to 0x03FF,Human Interface Device
0x010,0x0400 to 0x043F,Glucose Meter
0x011,0x0440 to 0x047F,Running Walking Sensor
0x012,0x0480 to 0x04BF,Cycling
0x013,0x04C0 to 0x04FF,Control Device
0x014,0x0500 to 0x053F,Network Device
0x015,0x0540 to 0x057F,Sensor
0x016,0x0580 to 0x05BF,Light Fixtures
0x017,0x05C0 to 0x05FF,Fan
0x018,0x0600 to 0x063F,HVAC
0x019,0x0640 to 0x067F,Air Conditioning
0x01A,0x0680 to 0x06BF,Humidifier
0x01B,0x06C0 to 0x06FF,Heating
0x01C,0x0700 to 0x073F,Access Control
0x01D,0x0740 to 0x077F,Motorized Device
0x01E,0x0780 to 0x07BF,Power Device
0x01F,0x07C0 to 0x07FF,Light Source
0x020,0x0800 to 0x083F,Window Covering
0x021,0x0840 to 0x087F,Audio Sink
0x022,0x0880 to 0x08BF,Audio Source
0x023,0x08C0 to 0x08FF,Motorized Vehicle
0x024,0x0900 to 0x093F,Domestic Appliance
0x025,0x0940 to 0x097F,Wearable Audio Device
0x026,0x0980 to 0x09BF,Aircraft
0x027,0x09C0 to 0x09FF,AV Equipment
0x028,0x0A00 to 0x0A3F,Display Equipment
0x029,0x0A40 to 0x0A7F,Hearing aid
0x02A,0x0A80 to 0x0ABF,Gaming
0x02B,0x0AC0 to 0x0AFF,Signage
0x031,0x0C40 to 0x0C7F,Pulse Oximeter
0x032,0x0C80 to 0x0CBF,Weight Scale
0x033,0x0CC0 to 0x0CFF,Personal Mobility Device
0x034,0x0D00 to 0x0D3F,Continuous Glucose Monitor
0x035,0x0D40 to 0x0D7F,Insulin Pump
0x036,0x0D80 to 0x0DBF,Medication Delivery
0x051,0x1440 to 0x147F,Outdoor Sports Activity
